accuracy,f1_score,precision,recall,train_time,Model,Run
0.9649122807017544,0.9650166781249204,0.9653983443457127,0.9649122807017544,0.03315997123718262,XGBoost Default (XGB-Selected),6
0.9298245614035088,0.9303835075633976,0.9332936301148912,0.9298245614035088,0.04296708106994629,XGBoost Default (XGB-Selected),7
0.9590643274853801,0.9589983626587679,0.9590024443825612,0.9590643274853801,0.04359078407287598,XGBoost Default (XGB-Selected),8
0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,0.041443824768066406,XGBoost Default (XGB-Selected),9
0.9532163742690059,0.9528910072359551,0.9537010694905431,0.9532163742690059,0.03722214698791504,XGBoost Default (XGB-Selected),10
0.9707602339181286,0.9708049283962537,0.9709198007112605,0.9707602339181286,0.041716575622558594,XGBoost Default (XGB-Selected),11
0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.04282259941101074,XGBoost Default (XGB-Selected),12
0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.04497528076171875,XGBoost Default (XGB-Selected),13
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.041491031646728516,XGBoost Default (XGB-Selected),14
0.9415204678362573,0.9416944635415341,0.9421381737171212,0.9415204678362573,0.04067587852478027,XGBoost Default (XGB-Selected),15
0.9707602339181286,0.9704997170135123,0.9720655806182121,0.9707602339181286,0.038305044174194336,XGBoost Default (XGB-Selected),16
0.9415204678362573,0.9413270831399486,0.9414097045909634,0.9415204678362573,0.04584670066833496,XGBoost Default (XGB-Selected),17
0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,0.03612542152404785,XGBoost Default (XGB-Selected),18
0.9473684210526315,0.9478430375455547,0.9515715344699777,0.9473684210526315,0.03521466255187988,XGBoost Default (XGB-Selected),19
0.9590643274853801,0.9586996038189173,0.9601351542698554,0.9590643274853801,0.03591179847717285,XGBoost Default (XGB-Selected),20
